id,name,open,labeled,commented,closed
MDU6SXNzdWU0MDQ3OTM2Mzk=,https://github.com/google/docsy/issues/20,2019-01-30T14:22:42Z,,2019-01-30T14:23:14Z,2019-04-30T15:05:16Z
MDU6SXNzdWU0MDY0NjQ0MTU=,https://github.com/google/docsy/issues/21,2019-02-04T18:41:17Z,2019-03-11T17:36:13Z,,2019-07-02T15:05:11Z
MDU6SXNzdWU0MDY0NjQ1MDA=,https://github.com/google/docsy/issues/22,2019-02-04T18:41:32Z,2019-03-11T17:39:08Z,2019-04-30T15:04:02Z,2019-04-30T15:04:02Z
MDU6SXNzdWU0MDY0NjQ3MzI=,https://github.com/google/docsy/issues/23,2019-02-04T18:42:11Z,,2022-02-25T16:30:52Z,2022-02-25T16:30:52Z
MDU6SXNzdWU0MDY0NjQ4NTI=,https://github.com/google/docsy/issues/24,2019-02-04T18:42:30Z,,2019-02-04T18:46:39Z,2019-02-04T18:46:39Z
MDU6SXNzdWU0MDY0NjQ5NzU=,https://github.com/google/docsy/issues/25,2019-02-04T18:42:48Z,2019-03-11T17:28:26Z,2019-02-11T18:22:28Z,2019-03-11T17:33:36Z
MDU6SXNzdWU0MDY0NjUxMTA=,https://github.com/google/docsy/issues/26,2019-02-04T18:43:08Z,2019-03-11T17:38Z,2019-07-10T16:55:19Z,2019-07-10T16:55:23Z
MDU6SXNzdWU0MDY0Njc1NjE=,https://github.com/google/docsy/issues/27,2019-02-04T18:49:43Z,2019-03-11T17:37:07Z,2019-02-08T17:07:08Z,2019-04-30T15:06:22Z
MDU6SXNzdWU0MDY0Njc2Mzc=,https://github.com/google/docsy/issues/28,2019-02-04T18:49:56Z,2019-03-11T17:38:17Z,2019-04-01T14:50:02Z,2019-04-30T15:03:29Z
MDU6SXNzdWU0MDkzMjExMTI=,https://github.com/google/docsy/issues/29,2019-02-12T14:16:17Z,,2019-04-01T14:34:28Z,2019-04-01T14:34:28Z
MDU6SXNzdWU0MDkzMjYyNzY=,https://github.com/google/docsy/issues/30,2019-02-12T14:27:07Z,,2019-07-02T10:39:34Z,2019-07-02T10:39:34Z
MDU6SXNzdWU0MTA1NDU4Njg=,https://github.com/google/docsy/issues/31,2019-02-14T23:57:18Z,,2019-05-01T13:46:33Z,2019-05-01T13:46:41Z
MDU6SXNzdWU0MTA1NjY5NzY=,https://github.com/google/docsy/issues/32,2019-02-15T01:34:37Z,,2019-04-01T15:47:39Z,2019-06-28T14:20:27Z
MDU6SXNzdWU0MTA2MTY3MDM=,https://github.com/google/docsy/issues/34,2019-02-15T05:54:53Z,,,2019-03-12T01:19:57Z
MDU6SXNzdWU0MTEzNzQ4MzA=,https://github.com/google/docsy/issues/38,2019-02-18T09:20:28Z,2023-08-04T21:23:16Z,2019-09-23T09:43:51Z,
MDU6SXNzdWU0MTQzODIxMjA=,https://github.com/google/docsy/issues/39,2019-02-26T01:10:12Z,,2019-07-01T15:34:46Z,2019-07-02T10:22:16Z
